[01-Nov-2015 12:43:35 Europe/Berlin] PHP Warning:  get_class() expects parameter 1 to be object, string given in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 46
[01-Nov-2015 12:43:35 Europe/Berlin] PHP Fatal error:  Class '' not found in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 46
[01-Nov-2015 15:57:23 Europe/Berlin] PHP Warning:  include_once(./gui/layoutTOpo.php): failed to open stream: No such file or directory in C:\xampp\htdocs\mvc\libs\TGui.php on line 19
[01-Nov-2015 15:57:23 Europe/Berlin] PHP Warning:  include_once(): Failed opening './gui/layoutTOpo.php' for inclusion (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\mvc\libs\TGui.php on line 19
[01-Nov-2015 15:57:23 Europe/Berlin] PHP Warning:  include_once(./gui/layoutRodape.php): failed to open stream: No such file or directory in C:\xampp\htdocs\mvc\libs\TGui.php on line 25
[01-Nov-2015 15:57:23 Europe/Berlin] PHP Warning:  include_once(): Failed opening './gui/layoutRodape.php' for inclusion (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\mvc\libs\TGui.php on line 25
[01-Nov-2015 16:02:46 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:03:02 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:15:59 Europe/Berlin] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: no parameters were bound in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 122
[01-Nov-2015 16:16:11 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:27:33 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:27:43 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:27:55 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:28:14 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:36:36 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 16:38:45 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 21:12:57 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
[01-Nov-2015 21:13:28 Europe/Berlin] PHP Notice:  Undefined index: usuario in C:\xampp\htdocs\mvc\libs\TApp.php on line 76
